signer,batch,label,source_folder,source_path,dest_path,status,shape,error
ANASTACIA,DIRECT,EAT,C:\BSIT 3RD YEAR\New VovGest\external_datasets\team_incoming_recorded_features\ANASTACIA\recorded_features\fullsign225_manual5_team_features,C:\BSIT 3RD YEAR\New VovGest\external_datasets\team_incoming_recorded_features\ANASTACIA\recorded_features\fullsign225_manual5_team_features\EAT\ANASTACIA_EAT_001.npy,C:\BSIT 3RD YEAR\New VovGest\external_datasets\fullsign225_manual5_team_features_v2\EAT\ANASTACIA_DIRECT_EAT_001_A33EA1BF.npy,copied,"(30, 225)",
ANASTACIA,DIRECT,EAT,C:\BSIT 3RD YEAR\New VovGest\external_datasets\team_incoming_recorded_features\ANASTACIA\recorded_features\fullsign225_manual5_team_features,C:\BSIT 3RD YEAR\New VovGest\external_datasets\team_incoming_recorded_features\ANASTACIA\recorded_features\fullsign225_manual5_team_features\EAT\ANASTACIA_EAT_002.npy,C:\BSIT 3RD YEAR\New VovGest\external_datasets\fullsign225_manual5_team_features_v2\EAT\ANASTACIA_DIRECT_EAT_002_BBA15904.npy,copied,"(30, 225)",
ANASTACIA,DIRECT,EAT,C:\BSIT 3RD YEAR\New VovGest\external_datasets\team_incoming_recorded_features\ANASTACIA\recorded_features\fullsign225_manual5_team_features,C:\BSIT 3RD YEAR\New VovGest\external_datasets\team_incoming_recorded_features\ANASTACIA\recorded_features\fullsign225_manual5_team_features\EAT\ANASTACIA_EAT_003.npy,C:\BSIT 3RD YEAR\New VovGest\external_datasets\fullsign225_manual5_team_features_v2\EAT\ANASTACIA_DIRECT_EAT_003_CAB33821.npy,copied,"(30, 225)",
ANASTACIA,DIRECT,EAT,C:\BSIT 3RD YEAR\New VovGest\external_datasets\team_incoming_recorded_features\ANASTACIA\recorded_features\fullsign225_manual5_team_features,C:\BSIT 3RD YEAR\New VovGest\external_datasets\team_incoming_recorded_features\ANASTACIA\recorded_features\fullsign225_manual5_team_features\EAT\ANASTACIA_EAT_004.npy,C:\BSIT 3RD YEAR\New VovGest\external_datasets\fullsign225_manual5_team_features_v2\EAT\ANASTACIA_DIRECT_EAT_004_6512918D.npy,copied,"(30, 225)",
ANASTACIA,DIRECT,EAT,C:\BSIT 3RD YEAR\New VovGest\external_datasets\team_incoming_recorded_features\ANASTACIA\recorded_features\fullsign225_manual5_team_features,C:\BSIT 3RD YEAR\New VovGest\external_datasets\team_incoming_recorded_features\ANASTACIA\recorded_features\fullsign225_manual5_team_features\EAT\ANASTACIA_EAT_005.npy,C:\BSIT 3RD YEAR\New VovGest\external_datasets\fullsign225_manual5_team_features_v2\EAT\ANASTACIA_DIRECT_EAT_005_395C09F2.npy,copied,"(30, 225)",
ANASTACIA,DIRECT,EAT,C:\BSIT 3RD YEAR\New VovGest\external_datasets\team_incoming_recorded_features\ANASTACIA\recorded_features\fullsign225_manual5_team_features,C:\BSIT 3RD YEAR\New VovGest\external_datasets\team_incoming_recorded_features\ANASTACIA\recorded_features\fullsign225_manual5_team_features\EAT\ANASTACIA_EAT_006.npy,C:\BSIT 3RD YEAR\New VovGest\external_datasets\fullsign225_manual5_team_features_v2\EAT\ANASTACIA_DIRECT_EAT_006_C142EB97.npy,copied,"(30, 225)",
ANASTACIA,DIRECT,EAT,C:\BSIT 3RD YEAR\New VovGest\external_datasets\team_incoming_recorded_features\ANASTACIA\recorded_features\fullsign225_manual5_team_features,C:\BSIT 3RD YEAR\New VovGest\external_datasets\team_incoming_recorded_features\ANASTACIA\recorded_features\fullsign225_manual5_team_features\EAT\ANASTACIA_EAT_007.npy,C:\BSIT 3RD YEAR\New VovGest\external_datasets\fullsign225_manual5_team_features_v2\EAT\ANASTACIA_DIRECT_EAT_007_CD742E49.npy,copied,"(30, 225)",
ANASTACIA,DIRECT,EAT,C:\BSIT 3RD YEAR\New VovGest\external_datasets\team_incoming_recorded_features\ANASTACIA\recorded_features\fullsign225_manual5_team_features,C:\BSIT 3RD YEAR\New VovGest\external_datasets\team_incoming_recorded_features\ANASTACIA\recorded_features\fullsign225_manual5_team_features\EAT\ANASTACIA_EAT_008.npy,C:\BSIT 3RD YEAR\New VovGest\external_datasets\fullsign225_manual5_team_features_v2\EAT\ANASTACIA_DIRECT_EAT_008_754660CF.npy,copied,"(30, 225)",
ANASTACIA,DIRECT,EAT,C:\BSIT 3RD YEAR\New VovGest\external_datasets\team_incoming_recorded_features\ANASTACIA\recorded_features\fullsign225_manual5_team_features,C:\BSIT 3RD YEAR\New VovGest\external_datasets\team_incoming_recorded_features\ANASTACIA\recorded_features\fullsign225_manual5_team_features\EAT\ANASTACIA_EAT_009.npy,C:\BSIT 3RD YEAR\New VovGest\external_datasets\fullsign225_manual5_team_features_v2\EAT\ANASTACIA_DIRECT_EAT_009_998AB89D.npy,copied,"(30, 225)",
ANASTACIA,DIRECT,EAT,C:\BSIT 3RD YEAR\New VovGest\external_datasets\team_incoming_recorded_features\ANASTACIA\recorded_features\fullsign225_manual5_team_features,C:\BSIT 3RD YEAR\New VovGest\external_datasets\team_incoming_recorded_features\ANASTACIA\recorded_features\fullsign225_manual5_team_features\EAT\ANASTACIA_EAT_010.npy,C:\BSIT 3RD YEAR\New VovGest\external_datasets\fullsign225_manual5_team_features_v2\EAT\ANASTACIA_DIRECT_EAT_010_857E7965.npy,copied,"(30, 225)",
